Area,Y2017_664,Y2017_newFoodSupply,percent
Bermuda,0.0,0.0,0.0
Brunei Darussalam,0.0,0.0,0.0
"China, Hong Kong SAR",3353.0,327.1786421864692,27.264886848872433
Antigua and Barbuda,2429.0,330.5302065103599,27.54418387586333
New Caledonia,2750.0,395.3992929589244,32.94994107991036
Yemen,2062.0,522.3547954371663,43.52956628643053
Jordan,2716.0,534.9874766605972,44.58228972171643
Cabo Verde,2512.0,558.5198552950451,46.54332127458709
"China, Macao SAR",2999.0,593.9612121026635,49.49676767522196
Iraq,2505.0,652.4482639463862,54.37068866219885
Bahamas,2043.0,665.429103051846,55.4524252543205
Venezuela (Bolivarian Republic of),2247.0,668.476779674603,55.70639830621692
Saint Lucia,2658.0,704.3013256694694,58.69177713912245
Kuwait,3445.0,715.8817646554024,59.656813721283534
Saint Kitts and Nevis,2517.0,755.6243368699336,62.96869473916114
Botswana,2338.0,799.7840271040276,66.64866892533564
Trinidad and Tobago,3039.0,844.1721560254523,70.34767966878769
Tajikistan,2099.0,847.7391440538727,70.64492867115607
Maldives,2253.0,901.2218100952472,75.10181750793727
Algeria,3345.0,923.18588887677,76.93215740639751
Grenada,2404.0,926.4984341424245,77.20820284520204
Lebanon,2877.0,932.3571713737958,77.69643094781632
Oman,2924.0,942.505690177412,78.54214084811767
Zimbabwe,2167.0,958.176099307403,79.8480082756169
Sri Lanka,2609.0,962.3751802820101,80.19793169016751
Montenegro,3478.0,968.5918389275222,80.71598657729352
Djibouti,2677.0,979.3770968839494,81.61475807366246
Malta,3460.0,993.0194704525587,82.75162253771323
Georgia,2871.0,1046.315449704741,87.19295414206175
Saudi Arabia,3194.0,1112.8235361083848,92.73529467569874
Turkmenistan,2872.0,1128.9528226378281,94.07940188648568
Haiti,2163.0,1143.9941994174249,95.33284995145208
Barbados,2896.0,1145.211294883256,95.43427457360465
Gambia,2542.0,1148.657698630404,95.721474885867
North Macedonia,2996.0,1154.7572028935538,96.22976690779615
Democratic People's Republic of Korea,2033.0,1170.869935231304,97.57249460260867
Lesotho,2277.0,1177.218032996489,98.10150274970742
Cyprus,2612.0,1245.8515636752556,103.82096363960463
Afghanistan,1997.0,1246.7095787730614,103.89246489775512
Sao Tome and Principe,2417.0,1249.367228411495,104.11393570095792
Saint Vincent and the Grenadines,2962.0,1259.6387200203112,104.96989333502593
Armenia,3072.0,1280.3574778990123,106.69645649158436
Gabon,2640.0,1320.6421069974454,110.05350891645377
Congo,2305.0,1342.1447308298902,111.84539423582419
Dominica,2945.0,1353.9622891256383,112.83019076046985
Bosnia and Herzegovina,3266.0,1355.922681092035,112.99355675766958
French Polynesia,2917.0,1399.9012787449135,116.65843989540946
Madagascar,1901.0,1401.6262396398104,116.80218663665086
Liberia,2127.0,1402.013827412433,116.83448561770277
Jamaica,2754.0,1441.6803848262527,120.1400320688544
Polynesia,2945.0,1490.0750104456847,124.17291753714038
Mongolia,2369.0,1493.639768340197,124.46998069501642
Rwanda,2210.0,1527.5604327445603,127.29670272871336
