FAO 2017 estimate,"FAO 2017 without imports, exports",percent of original,FAO Country Code,Country name,"FAO 2017 without imports, exports, rounded",oldstatus,newstatus
0.0,0.0,0.0,17,Bermuda,0.0,below 1200,below 1200
0.0,0.0,0.0,26,Brunei Darussalam,0.0,below 1200,below 1200
3353.0,327.0,27.0,96,"China, Hong Kong SAR",300.0,above 1800,below 1200
2429.0,331.0,28.0,8,Antigua and Barbuda,300.0,above 1800,below 1200
2750.0,395.0,33.0,153,New Caledonia,300.0,above 1800,below 1200
2062.0,522.0,44.0,249,Yemen,500.0,above 1800,below 1200
2716.0,535.0,45.0,112,Jordan,500.0,above 1800,below 1200
2512.0,559.0,47.0,35,Cabo Verde,500.0,above 1800,below 1200
2999.0,594.0,49.0,128,"China, Macao SAR",500.0,above 1800,below 1200
2505.0,652.0,54.0,103,Iraq,600.0,above 1800,below 1200
2043.0,665.0,55.0,12,Bahamas,600.0,above 1800,below 1200
2247.0,668.0,56.0,236,Venezuela (Bolivarian Republic of),600.0,above 1800,below 1200
2658.0,704.0,59.0,189,Saint Lucia,700.0,above 1800,below 1200
3445.0,716.0,60.0,118,Kuwait,700.0,above 1800,below 1200
2517.0,756.0,63.0,188,Saint Kitts and Nevis,700.0,above 1800,below 1200
2338.0,800.0,67.0,20,Botswana,800.0,above 1800,below 1200
3039.0,844.0,70.0,220,Trinidad and Tobago,800.0,above 1800,below 1200
2099.0,848.0,71.0,208,Tajikistan,800.0,above 1800,below 1200
2253.0,901.0,75.0,132,Maldives,900.0,above 1800,below 1200
3345.0,923.0,77.0,4,Algeria,900.0,above 1800,below 1200
2404.0,926.0,77.0,86,Grenada,900.0,above 1800,below 1200
2877.0,932.0,78.0,121,Lebanon,900.0,above 1800,below 1200
2924.0,943.0,79.0,221,Oman,900.0,above 1800,below 1200
2167.0,958.0,80.0,181,Zimbabwe,900.0,above 1800,below 1200
2609.0,962.0,80.0,38,Sri Lanka,900.0,above 1800,below 1200
3478.0,969.0,81.0,273,Montenegro,900.0,above 1800,below 1200
2677.0,979.0,82.0,72,Djibouti,900.0,above 1800,below 1200
3460.0,993.0,83.0,134,Malta,900.0,above 1800,below 1200
2871.0,1046.0,87.0,73,Georgia,1000.0,above 1800,below 1200
3194.0,1113.0,93.0,194,Saudi Arabia,1100.0,above 1800,below 1200
2872.0,1129.0,94.0,213,Turkmenistan,1100.0,above 1800,below 1200
2163.0,1144.0,95.0,93,Haiti,1100.0,above 1800,below 1200
2896.0,1145.0,95.0,14,Barbados,1100.0,above 1800,below 1200
2542.0,1149.0,96.0,75,Gambia,1100.0,above 1800,below 1200
2996.0,1155.0,96.0,154,North Macedonia,1100.0,above 1800,below 1200
2033.0,1171.0,98.0,116,Democratic People's Republic of Korea,1100.0,above 1800,below 1200
2277.0,1177.0,98.0,122,Lesotho,1100.0,above 1800,below 1200
2612.0,1246.0,104.0,50,Cyprus,1200.0,above 1800,below 1800
1997.0,1247.0,104.0,2,Afghanistan,1200.0,above 1800,below 1800
2417.0,1249.0,104.0,193,Sao Tome and Principe,1200.0,above 1800,below 1800
2962.0,1260.0,105.0,191,Saint Vincent and the Grenadines,1200.0,above 1800,below 1800
3072.0,1280.0,107.0,1,Armenia,1200.0,above 1800,below 1800
2640.0,1321.0,110.0,74,Gabon,1300.0,above 1800,below 1800
2305.0,1342.0,112.0,46,Congo,1300.0,above 1800,below 1800
2945.0,1354.0,113.0,55,Dominica,1300.0,above 1800,below 1800
3266.0,1356.0,113.0,80,Bosnia and Herzegovina,1300.0,above 1800,below 1800
2917.0,1400.0,117.0,70,French Polynesia,1400.0,above 1800,below 1800
1901.0,1402.0,117.0,129,Madagascar,1400.0,above 1800,below 1800
2127.0,1402.0,117.0,123,Liberia,1400.0,above 1800,below 1800
2754.0,1442.0,120.0,109,Jamaica,1400.0,above 1800,below 1800
2369.0,1494.0,124.0,141,Mongolia,1400.0,above 1800,below 1800
2210.0,1528.0,127.0,184,Rwanda,1500.0,above 1800,below 1800
2699.0,1536.0,128.0,110,Japan,1500.0,above 1800,below 1800
2301.0,1555.0,130.0,144,Mozambique,1500.0,above 1800,below 1800
3507.0,1656.0,138.0,105,Israel,1600.0,above 1800,below 1800
2266.0,1661.0,138.0,7,Angola,1600.0,above 1800,below 1800
2611.0,1664.0,139.0,195,Senegal,1600.0,above 1800,below 1800
1754.0,1678.0,140.0,37,Central African Republic,1600.0,below 1800,below 1800
3200.0,1788.0,149.0,198,Slovenia,1700.0,above 1800,below 1800
2142.0,1791.0,149.0,176,Timor-Leste,1700.0,above 1800,below 1800
2796.0,1809.0,151.0,113,Kyrgyzstan,1800.0,above 1800,above 1800
2125.0,1830.0,153.0,114,Kenya,1800.0,above 1800,above 1800
2971.0,1870.0,156.0,244,Samoa,1800.0,above 1800,above 1800
2452.0,1896.0,158.0,197,Sierra Leone,1800.0,above 1800,above 1800
3315.0,1898.0,158.0,59,Egypt,1800.0,above 1800,above 1800
2976.0,1917.0,160.0,214,"China, Taiwan Province of",1900.0,above 1800,above 1800
3370.0,1918.0,160.0,117,Republic of Korea,1900.0,above 1800,above 1800
2431.0,1918.0,160.0,276,Sudan,1900.0,above 1800,above 1800
2660.0,1932.0,161.0,60,El Salvador,1900.0,above 1800,above 1800
2429.0,1956.0,163.0,147,Namibia,1900.0,above 1800,above 1800
3102.0,1999.0,167.0,52,Azerbaijan,1900.0,above 1800,above 1800
3400.0,2032.0,169.0,3,Albania,2000.0,above 1800,above 1800
2839.0,2036.0,170.0,166,Panama,2000.0,above 1800,above 1800
2426.0,2044.0,170.0,217,Togo,2000.0,above 1800,above 1800
2143.0,2107.0,176.0,226,Uganda,2100.0,above 1800,above 1800
2720.0,2109.0,176.0,233,Burkina Faso,2100.0,above 1800,above 1800
2754.0,2159.0,180.0,53,Benin,2100.0,above 1800,above 1800
2304.0,2207.0,184.0,238,Ethiopia,2200.0,above 1800,above 1800
3378.0,2217.0,185.0,143,Morocco,2200.0,above 1800,above 1800
2596.0,2250.0,187.0,16,Bangladesh,2200.0,above 1800,above 1800
3020.0,2265.0,189.0,235,Uzbekistan,2200.0,above 1800,above 1800
2652.0,2293.0,191.0,32,Cameroon,2200.0,above 1800,above 1800
3522.0,2314.0,193.0,106,Italy,2300.0,above 1800,above 1800
2842.0,2355.0,196.0,136,Mauritania,2300.0,above 1800,above 1800
3370.0,2358.0,196.0,225,United Arab Emirates,2300.0,above 1800,above 1800
2460.0,2402.0,200.0,159,Nigeria,2400.0,above 1800,above 1800
